cat,change,change_persent,high,low,ltp,open,sn,trade,trade_code,value,volume,ycp
A,2.00,3.55%,61.40,55.00,61.40,55.00,62,132,MICEMENT,3.422,"59,315",59.40
A,0.60,3.47%,18.40,17.30,18.00,17.30,63,138,OIMEX,2.900,"161,166",17.40
A,0.90,2.97%,31.50,30.10,31.20,31.00,64,401,AMANFEED,14.791,"478,932",30.30
A,1.20,2.92%,42.50,40.80,42.30,41.10,65,192,EHL,6.137,"146,223",41.10
A,0.60,2.91%,21.40,20.50,21.20,20.90,66,390,BDCOM,11.149,"532,776",20.60
A,0.70,2.73%,26.40,25.60,26.30,25.70,67,757,BARKAPOWER,28.676,"1,098,139",25.60
A,1.20,2.72%,45.90,44.20,45.30,44.20,68,"1,154",BRACBANK,93.094,"2,054,528",44.10
A,0.50,2.70%,19.50,18.50,19.00,18.50,69,589,ADVENT,23.916,"1,264,498",18.50
Z,0.10,2.70%,3.90,3.50,3.80,3.80,70,387,GENNEXT,8.785,"2,354,708",3.70
A,0.90,2.67%,35.00,33.80,34.70,34.40,71,161,SQUARETEXT,4.098,"118,257",33.80
Z,1.40,2.65%,55.00,53.20,53.20,54.00,72,21,SHYAMPSUG,0.147,"2,708",51.80
B,0.30,2.61%,12.00,11.60,11.80,12.00,73,599,PRIMEFIN,18.361,"1,549,941",11.50
A,0.30,2.61%,12.20,11.30,11.80,11.50,74,157,SHEPHERD,2.346,"200,870",11.50
B,0.40,2.58%,16.10,15.10,15.90,15.10,75,397,MHSML,17.786,"1,119,412",15.50
A,107.40,2.55%,4360.00,4191.00,4323.90,4235.00,76,424,RECKITTBEN,14.642,"3,425",4216.50
Z,0.10,2.50%,4.20,4.00,4.10,4.00,77,38,TALLUSPIN,0.541,"133,140",4.00
A,1.20,2.49%,50.00,48.00,49.30,48.00,78,384,BSRMSTEEL,12.956,"263,296",48.10
Z,0.20,2.41%,8.80,8.40,8.50,8.40,79,38,ALLTEX,0.566,"66,610",8.30
A,0.20,2.41%,8.60,8.10,8.50,8.40,80,124,ICBAGRANI1,5.872,"692,437",8.30
A,0.30,2.40%,13.00,12.70,12.80,12.90,81,148,SIBL,4.876,"379,642",12.50
A,1.00,2.39%,43.40,42.00,43.30,42.20,82,192,SINOBANGLA,6.233,"145,613",42.30
A,0.20,2.38%,8.70,8.30,8.60,8.40,83,253,PDL,6.099,"717,853",8.40
Z,0.10,2.38%,4.30,4.20,4.30,4.20,84,156,RNSPIN,8.584,"2,033,931",4.20
A,5.70,2.36%,258.00,241.70,248.80,244.00,85,383,ACI,12.035,"48,541",243.10
B,0.40,2.33%,17.90,17.00,17.60,17.30,86,195,AGNISYSL,6.034,"347,222",17.20
A,0.60,2.33%,27.00,25.60,26.40,26.20,87,737,SAPORTL,30.278,"1,150,627",25.80
A,1.00,2.23%,46.30,44.70,45.80,45.40,88,"1,136",POWERGRID,80.858,"1,775,723",44.80
